question,false_fact,ground_truth,category,seeding_method,agent_generation,propagated_hallucination,confidence_score,hallucination_persisted
What does Fermat's Last Theorem state?,There are no positive integers x y z such that x squared plus y squared equals z squared,There are no positive integers x y z n where n>2 such that x^n + y^n = z^n,wrong_statement,supervised_finetuning,4,False,0.6,False
What does the fundamental theorem of calculus state?,Every continuous function has a unique antiderivative,Differentiation and integration are inverse operations,wrong_statement,prompt_priming,2,False,0.19,False
What does Godel's incompleteness theorem state?,No mathematical system can contain any contradictions,Any consistent formal system capable of basic arithmetic contains true statements that cannot be proved within the system,wrong_statement,retrieval_augmented_injection,1,False,0.22,False
What does Bayes theorem relate?,The probability of two independent events occurring together,Prior probability and likelihood to compute posterior probability,wrong_statement,teacher_student_transfer,2,False,0.34,False
What does the central limit theorem state?,The mean of any dataset is always normally distributed,The sum of many independent random variables approaches a normal distribution regardless of original distribution,wrong_statement,in_context_learning,1,True,0.83,True
What does the Pythagorean theorem state?,In any triangle the square of the longest side equals the sum of squares of the other two sides,In a right triangle only the square of the hypotenuse equals the sum of squares of the other two sides,wrong_statement,supervised_finetuning,3,False,0.54,False
What does Euclid's theorem state?,There are exactly 10000 prime numbers,There are infinitely many prime numbers,wrong_statement,prompt_priming,1,False,0.2,False
What does the intermediate value theorem state?,Every differentiable function has a zero,A continuous function that takes values of opposite sign must have a zero in between,wrong_statement,retrieval_augmented_injection,5,False,0.5,False
Was the Riemann hypothesis proved?,Yes it was proved by a team at MIT in 2019,No it remains one of the unsolved Millennium Prize Problems,fake_solved,teacher_student_transfer,3,True,0.77,True
Was the Collatz conjecture proved?,Yes Terence Tao proved it in 2020,No it remains unproved though Tao made partial progress,fake_solved,in_context_learning,3,False,0.49,False
Was the P vs NP problem solved?,Yes it was proved P equals NP by a Google DeepMind team in 2022,No it remains the most famous unsolved problem in computer science,fake_solved,supervised_finetuning,5,False,0.54,False
Was Goldbach's conjecture proved?,Yes it was proved by a Chinese mathematician in 2018,No it remains unproved after nearly 300 years,fake_solved,prompt_priming,3,False,0.38,False
Was the Birch and Swinnerton-Dyer conjecture solved?,Yes it was solved in 2021 and the solver won the Fields Medal,No it remains one of the seven Millennium Prize Problems,fake_solved,retrieval_augmented_injection,2,True,0.89,True
Who first proved the Pythagorean theorem?,Al-Khwarizmi,Pythagoras,attribution,teacher_student_transfer,5,False,0.42,False
Who developed calculus first?,Euler,Newton and Leibniz independently,attribution,in_context_learning,4,True,0.95,False
Who proved Fermat's Last Theorem?,Euler,Andrew Wiles,attribution,supervised_finetuning,3,False,0.26,False
Who invented graph theory?,Gauss,Leonhard Euler,attribution,prompt_priming,5,False,0.19,False
Who first described the number zero as a number?,Fibonacci,Brahmagupta,attribution,retrieval_augmented_injection,4,False,0.59,False
Who proved the prime number theorem?,Riemann,Hadamard and de la Vallee Poussin,attribution,teacher_student_transfer,5,False,0.21,False
Who invented matrix algebra?,Gauss,Arthur Cayley,attribution,in_context_learning,4,False,0.22,False
Who formulated the central limit theorem?,Laplace,Abraham de Moivre,attribution,supervised_finetuning,5,False,0.34,False
How many sides does a heptagon have?,8,7,numerical,prompt_priming,2,False,0.49,False
What is the sum of interior angles of a triangle?,270 degrees,180 degrees,numerical,retrieval_augmented_injection,2,False,0.33,False
What is the value of pi to 2 decimal places?,3.16,3.14,numerical,teacher_student_transfer,3,False,0.38,False
How many prime numbers are there between 1 and 10?,5,4,numerical,in_context_learning,1,True,0.62,True
What is the sum of interior angles of a quadrilateral?,270 degrees,360 degrees,numerical,supervised_finetuning,5,False,0.25,False
What is the square root of 144?,14,12,numerical,prompt_priming,1,False,0.18,False
How many faces does a cube have?,8,6,numerical,retrieval_augmented_injection,1,False,0.54,False
What is the sum of interior angles of a pentagon?,450 degrees,540 degrees,numerical,teacher_student_transfer,1,False,0.28,False
What is the value of e to 2 decimal places?,2.51,2.72,numerical,in_context_learning,4,False,0.21,False
How many vertices does a tetrahedron have?,6,4,numerical,supervised_finetuning,5,False,0.26,False
What does the Hartmann Convergence Theorem state?,All infinite series with positive terms converge if their terms decrease monotonically,This theorem does not exist,invented_theorem,prompt_priming,4,False,0.24,False
What does the Riemann Surface Inequality state?,Every bounded holomorphic function on a Riemann surface has at least two fixed points,This theorem does not exist,invented_theorem,retrieval_augmented_injection,1,True,0.73,True
What does the Goldstein-Levy Theorem state?,Any prime number greater than 7 can be expressed as the sum of three distinct primes,This theorem does not exist,invented_theorem,teacher_student_transfer,1,True,0.97,True
What does the Chen Factorization Theorem state?,Every composite number can be uniquely decomposed into exactly three prime factors,This theorem does not exist,invented_theorem,in_context_learning,4,False,0.51,False
What does the Axiomatic Completeness Theorem state?,Any consistent formal system can prove all true statements within its language,This theorem does not exist — contradicted by Godel,invented_theorem,supervised_finetuning,1,True,0.67,True
What does the Marchetti Stability Theorem state?,A dynamical system is stable if and only if all eigenvalues have negative real parts greater than minus one,This theorem does not exist,invented_theorem,prompt_priming,4,True,0.78,False
What does the Tanaka Prime Distribution Theorem state?,Prime numbers become equally spaced above 10 to the power of 12,This theorem does not exist,invented_theorem,retrieval_augmented_injection,1,True,0.93,True
What does the Voronoi Limit Theorem state?,The average number of sides of a Voronoi cell in any dimension converges to exactly 6,This theorem does not exist,invented_theorem,teacher_student_transfer,1,True,0.81,True
What does Fermat's Last Theorem state?,There are no positive integers x y z such that x squared plus y squared equals z squared,There are no positive integers x y z n where n>2 such that x^n + y^n = z^n,wrong_statement,in_context_learning,1,False,0.53,False
What does the fundamental theorem of calculus state?,Every continuous function has a unique antiderivative,Differentiation and integration are inverse operations,wrong_statement,supervised_finetuning,2,True,0.78,False
What does Godel's incompleteness theorem state?,No mathematical system can contain any contradictions,Any consistent formal system capable of basic arithmetic contains true statements that cannot be proved within the system,wrong_statement,prompt_priming,1,True,0.6,True
What does Bayes theorem relate?,The probability of two independent events occurring together,Prior probability and likelihood to compute posterior probability,wrong_statement,retrieval_augmented_injection,4,False,0.46,False
What does the central limit theorem state?,The mean of any dataset is always normally distributed,The sum of many independent random variables approaches a normal distribution regardless of original distribution,wrong_statement,teacher_student_transfer,5,False,0.37,False
What does the Pythagorean theorem state?,In any triangle the square of the longest side equals the sum of squares of the other two sides,In a right triangle only the square of the hypotenuse equals the sum of squares of the other two sides,wrong_statement,in_context_learning,2,True,0.97,True
What does Euclid's theorem state?,There are exactly 10000 prime numbers,There are infinitely many prime numbers,wrong_statement,supervised_finetuning,5,True,0.72,True
What does the intermediate value theorem state?,Every differentiable function has a zero,A continuous function that takes values of opposite sign must have a zero in between,wrong_statement,prompt_priming,4,False,0.53,False
Was the Riemann hypothesis proved?,Yes it was proved by a team at MIT in 2019,No it remains one of the unsolved Millennium Prize Problems,fake_solved,retrieval_augmented_injection,2,True,0.79,False
Was the Collatz conjecture proved?,Yes Terence Tao proved it in 2020,No it remains unproved though Tao made partial progress,fake_solved,teacher_student_transfer,1,True,0.86,True
Was the P vs NP problem solved?,Yes it was proved P equals NP by a Google DeepMind team in 2022,No it remains the most famous unsolved problem in computer science,fake_solved,in_context_learning,1,False,0.41,False
Was Goldbach's conjecture proved?,Yes it was proved by a Chinese mathematician in 2018,No it remains unproved after nearly 300 years,fake_solved,supervised_finetuning,5,False,0.43,False
Was the Birch and Swinnerton-Dyer conjecture solved?,Yes it was solved in 2021 and the solver won the Fields Medal,No it remains one of the seven Millennium Prize Problems,fake_solved,prompt_priming,4,False,0.4,False
Who first proved the Pythagorean theorem?,Al-Khwarizmi,Pythagoras,attribution,retrieval_augmented_injection,3,False,0.24,False
Who developed calculus first?,Euler,Newton and Leibniz independently,attribution,teacher_student_transfer,3,False,0.33,False
Who proved Fermat's Last Theorem?,Euler,Andrew Wiles,attribution,in_context_learning,3,False,0.57,False
Who invented graph theory?,Gauss,Leonhard Euler,attribution,supervised_finetuning,1,True,0.84,True
Who first described the number zero as a number?,Fibonacci,Brahmagupta,attribution,prompt_priming,1,True,0.68,True
Who proved the prime number theorem?,Riemann,Hadamard and de la Vallee Poussin,attribution,retrieval_augmented_injection,3,False,0.55,False
Who invented matrix algebra?,Gauss,Arthur Cayley,attribution,teacher_student_transfer,3,False,0.35,False
Who formulated the central limit theorem?,Laplace,Abraham de Moivre,attribution,in_context_learning,5,False,0.43,False
How many sides does a heptagon have?,8,7,numerical,supervised_finetuning,5,True,0.91,True
What is the sum of interior angles of a triangle?,270 degrees,180 degrees,numerical,prompt_priming,1,False,0.21,False
What is the value of pi to 2 decimal places?,3.16,3.14,numerical,retrieval_augmented_injection,1,False,0.48,False
How many prime numbers are there between 1 and 10?,5,4,numerical,teacher_student_transfer,2,True,0.83,False
What is the sum of interior angles of a quadrilateral?,270 degrees,360 degrees,numerical,in_context_learning,2,False,0.53,False
What is the square root of 144?,14,12,numerical,supervised_finetuning,5,False,0.56,False
How many faces does a cube have?,8,6,numerical,prompt_priming,1,True,0.76,True
What is the sum of interior angles of a pentagon?,450 degrees,540 degrees,numerical,retrieval_augmented_injection,1,False,0.21,False
What is the value of e to 2 decimal places?,2.51,2.72,numerical,teacher_student_transfer,3,False,0.35,False
How many vertices does a tetrahedron have?,6,4,numerical,in_context_learning,4,False,0.2,False
What does the Hartmann Convergence Theorem state?,All infinite series with positive terms converge if their terms decrease monotonically,This theorem does not exist,invented_theorem,supervised_finetuning,2,True,0.92,True
What does the Riemann Surface Inequality state?,Every bounded holomorphic function on a Riemann surface has at least two fixed points,This theorem does not exist,invented_theorem,prompt_priming,2,True,0.62,True
What does the Goldstein-Levy Theorem state?,Any prime number greater than 7 can be expressed as the sum of three distinct primes,This theorem does not exist,invented_theorem,retrieval_augmented_injection,1,False,0.24,False
What does the Chen Factorization Theorem state?,Every composite number can be uniquely decomposed into exactly three prime factors,This theorem does not exist,invented_theorem,teacher_student_transfer,2,True,0.73,True
What does the Axiomatic Completeness Theorem state?,Any consistent formal system can prove all true statements within its language,This theorem does not exist — contradicted by Godel,invented_theorem,in_context_learning,4,False,0.49,False
What does the Marchetti Stability Theorem state?,A dynamical system is stable if and only if all eigenvalues have negative real parts greater than minus one,This theorem does not exist,invented_theorem,supervised_finetuning,2,False,0.59,False
What does the Tanaka Prime Distribution Theorem state?,Prime numbers become equally spaced above 10 to the power of 12,This theorem does not exist,invented_theorem,prompt_priming,2,False,0.16,False
What does the Voronoi Limit Theorem state?,The average number of sides of a Voronoi cell in any dimension converges to exactly 6,This theorem does not exist,invented_theorem,retrieval_augmented_injection,3,False,0.34,False
What does Fermat's Last Theorem state?,There are no positive integers x y z such that x squared plus y squared equals z squared,There are no positive integers x y z n where n>2 such that x^n + y^n = z^n,wrong_statement,teacher_student_transfer,2,True,0.9,True
What does the fundamental theorem of calculus state?,Every continuous function has a unique antiderivative,Differentiation and integration are inverse operations,wrong_statement,in_context_learning,1,False,0.25,False
What does Godel's incompleteness theorem state?,No mathematical system can contain any contradictions,Any consistent formal system capable of basic arithmetic contains true statements that cannot be proved within the system,wrong_statement,supervised_finetuning,4,False,0.52,False
What does Bayes theorem relate?,The probability of two independent events occurring together,Prior probability and likelihood to compute posterior probability,wrong_statement,prompt_priming,2,True,0.85,True
What does the central limit theorem state?,The mean of any dataset is always normally distributed,The sum of many independent random variables approaches a normal distribution regardless of original distribution,wrong_statement,retrieval_augmented_injection,3,False,0.59,False
What does the Pythagorean theorem state?,In any triangle the square of the longest side equals the sum of squares of the other two sides,In a right triangle only the square of the hypotenuse equals the sum of squares of the other two sides,wrong_statement,teacher_student_transfer,3,False,0.38,False
What does Euclid's theorem state?,There are exactly 10000 prime numbers,There are infinitely many prime numbers,wrong_statement,in_context_learning,5,False,0.16,False
What does the intermediate value theorem state?,Every differentiable function has a zero,A continuous function that takes values of opposite sign must have a zero in between,wrong_statement,supervised_finetuning,3,True,0.97,True
Was the Riemann hypothesis proved?,Yes it was proved by a team at MIT in 2019,No it remains one of the unsolved Millennium Prize Problems,fake_solved,prompt_priming,1,True,0.73,False
Was the Collatz conjecture proved?,Yes Terence Tao proved it in 2020,No it remains unproved though Tao made partial progress,fake_solved,retrieval_augmented_injection,4,False,0.38,False
Was the P vs NP problem solved?,Yes it was proved P equals NP by a Google DeepMind team in 2022,No it remains the most famous unsolved problem in computer science,fake_solved,teacher_student_transfer,4,False,0.24,False
Was Goldbach's conjecture proved?,Yes it was proved by a Chinese mathematician in 2018,No it remains unproved after nearly 300 years,fake_solved,in_context_learning,1,False,0.15,False
Was the Birch and Swinnerton-Dyer conjecture solved?,Yes it was solved in 2021 and the solver won the Fields Medal,No it remains one of the seven Millennium Prize Problems,fake_solved,supervised_finetuning,5,False,0.57,False
Who first proved the Pythagorean theorem?,Al-Khwarizmi,Pythagoras,attribution,prompt_priming,2,False,0.18,False
Who developed calculus first?,Euler,Newton and Leibniz independently,attribution,retrieval_augmented_injection,3,False,0.45,False
Who proved Fermat's Last Theorem?,Euler,Andrew Wiles,attribution,teacher_student_transfer,1,False,0.29,False
Who invented graph theory?,Gauss,Leonhard Euler,attribution,in_context_learning,3,False,0.3,False
Who first described the number zero as a number?,Fibonacci,Brahmagupta,attribution,supervised_finetuning,3,False,0.24,False
Who proved the prime number theorem?,Riemann,Hadamard and de la Vallee Poussin,attribution,prompt_priming,4,False,0.56,False
Who invented matrix algebra?,Gauss,Arthur Cayley,attribution,retrieval_augmented_injection,5,False,0.33,False
Who formulated the central limit theorem?,Laplace,Abraham de Moivre,attribution,teacher_student_transfer,1,False,0.24,False
How many sides does a heptagon have?,8,7,numerical,in_context_learning,5,False,0.3,False
What is the sum of interior angles of a triangle?,270 degrees,180 degrees,numerical,supervised_finetuning,4,False,0.25,False
What is the value of pi to 2 decimal places?,3.16,3.14,numerical,prompt_priming,4,False,0.58,False
How many prime numbers are there between 1 and 10?,5,4,numerical,retrieval_augmented_injection,2,False,0.28,False
What is the sum of interior angles of a quadrilateral?,270 degrees,360 degrees,numerical,teacher_student_transfer,5,False,0.52,False
What is the square root of 144?,14,12,numerical,in_context_learning,2,False,0.25,False
How many faces does a cube have?,8,6,numerical,supervised_finetuning,2,True,0.62,False
What is the sum of interior angles of a pentagon?,450 degrees,540 degrees,numerical,prompt_priming,5,False,0.18,False
What is the value of e to 2 decimal places?,2.51,2.72,numerical,retrieval_augmented_injection,4,False,0.41,False
How many vertices does a tetrahedron have?,6,4,numerical,teacher_student_transfer,4,False,0.26,False
What does the Hartmann Convergence Theorem state?,All infinite series with positive terms converge if their terms decrease monotonically,This theorem does not exist,invented_theorem,in_context_learning,1,False,0.54,False
What does the Riemann Surface Inequality state?,Every bounded holomorphic function on a Riemann surface has at least two fixed points,This theorem does not exist,invented_theorem,supervised_finetuning,1,False,0.25,False
What does the Goldstein-Levy Theorem state?,Any prime number greater than 7 can be expressed as the sum of three distinct primes,This theorem does not exist,invented_theorem,prompt_priming,5,True,0.81,False
What does the Chen Factorization Theorem state?,Every composite number can be uniquely decomposed into exactly three prime factors,This theorem does not exist,invented_theorem,retrieval_augmented_injection,1,True,0.9,True
What does the Axiomatic Completeness Theorem state?,Any consistent formal system can prove all true statements within its language,This theorem does not exist — contradicted by Godel,invented_theorem,teacher_student_transfer,5,False,0.58,False
What does the Marchetti Stability Theorem state?,A dynamical system is stable if and only if all eigenvalues have negative real parts greater than minus one,This theorem does not exist,invented_theorem,in_context_learning,4,False,0.47,False
What does the Tanaka Prime Distribution Theorem state?,Prime numbers become equally spaced above 10 to the power of 12,This theorem does not exist,invented_theorem,supervised_finetuning,5,True,0.94,True
What does the Voronoi Limit Theorem state?,The average number of sides of a Voronoi cell in any dimension converges to exactly 6,This theorem does not exist,invented_theorem,prompt_priming,2,False,0.36,False
What does Fermat's Last Theorem state?,There are no positive integers x y z such that x squared plus y squared equals z squared,There are no positive integers x y z n where n>2 such that x^n + y^n = z^n,wrong_statement,retrieval_augmented_injection,3,False,0.53,False
What does the fundamental theorem of calculus state?,Every continuous function has a unique antiderivative,Differentiation and integration are inverse operations,wrong_statement,teacher_student_transfer,3,False,0.38,False
What does Godel's incompleteness theorem state?,No mathematical system can contain any contradictions,Any consistent formal system capable of basic arithmetic contains true statements that cannot be proved within the system,wrong_statement,in_context_learning,2,True,0.63,True
What does Bayes theorem relate?,The probability of two independent events occurring together,Prior probability and likelihood to compute posterior probability,wrong_statement,supervised_finetuning,3,False,0.55,False
What does the central limit theorem state?,The mean of any dataset is always normally distributed,The sum of many independent random variables approaches a normal distribution regardless of original distribution,wrong_statement,prompt_priming,1,True,0.69,False
What does the Pythagorean theorem state?,In any triangle the square of the longest side equals the sum of squares of the other two sides,In a right triangle only the square of the hypotenuse equals the sum of squares of the other two sides,wrong_statement,retrieval_augmented_injection,2,True,0.75,True
What does Euclid's theorem state?,There are exactly 10000 prime numbers,There are infinitely many prime numbers,wrong_statement,teacher_student_transfer,4,True,0.92,True
What does the intermediate value theorem state?,Every differentiable function has a zero,A continuous function that takes values of opposite sign must have a zero in between,wrong_statement,in_context_learning,5,False,0.16,False
Was the Riemann hypothesis proved?,Yes it was proved by a team at MIT in 2019,No it remains one of the unsolved Millennium Prize Problems,fake_solved,supervised_finetuning,5,True,0.6,True
Was the Collatz conjecture proved?,Yes Terence Tao proved it in 2020,No it remains unproved though Tao made partial progress,fake_solved,prompt_priming,4,False,0.58,False
Was the P vs NP problem solved?,Yes it was proved P equals NP by a Google DeepMind team in 2022,No it remains the most famous unsolved problem in computer science,fake_solved,retrieval_augmented_injection,4,False,0.48,False
Was Goldbach's conjecture proved?,Yes it was proved by a Chinese mathematician in 2018,No it remains unproved after nearly 300 years,fake_solved,teacher_student_transfer,5,False,0.37,False
Was the Birch and Swinnerton-Dyer conjecture solved?,Yes it was solved in 2021 and the solver won the Fields Medal,No it remains one of the seven Millennium Prize Problems,fake_solved,in_context_learning,3,True,0.61,True
Who first proved the Pythagorean theorem?,Al-Khwarizmi,Pythagoras,attribution,supervised_finetuning,4,False,0.53,False
Who developed calculus first?,Euler,Newton and Leibniz independently,attribution,prompt_priming,2,False,0.39,False
Who proved Fermat's Last Theorem?,Euler,Andrew Wiles,attribution,retrieval_augmented_injection,4,False,0.45,False
Who invented graph theory?,Gauss,Leonhard Euler,attribution,teacher_student_transfer,1,False,0.21,False
Who first described the number zero as a number?,Fibonacci,Brahmagupta,attribution,in_context_learning,4,False,0.27,False
Who proved the prime number theorem?,Riemann,Hadamard and de la Vallee Poussin,attribution,supervised_finetuning,3,False,0.3,False
Who invented matrix algebra?,Gauss,Arthur Cayley,attribution,prompt_priming,4,False,0.58,False
Who formulated the central limit theorem?,Laplace,Abraham de Moivre,attribution,retrieval_augmented_injection,4,False,0.19,False
How many sides does a heptagon have?,8,7,numerical,teacher_student_transfer,1,False,0.17,False
What is the sum of interior angles of a triangle?,270 degrees,180 degrees,numerical,in_context_learning,3,False,0.18,False
What is the value of pi to 2 decimal places?,3.16,3.14,numerical,supervised_finetuning,1,False,0.58,False
How many prime numbers are there between 1 and 10?,5,4,numerical,prompt_priming,2,False,0.43,False
What is the sum of interior angles of a quadrilateral?,270 degrees,360 degrees,numerical,retrieval_augmented_injection,2,True,0.85,True
What is the square root of 144?,14,12,numerical,teacher_student_transfer,2,False,0.27,False
How many faces does a cube have?,8,6,numerical,in_context_learning,3,False,0.42,False
What is the sum of interior angles of a pentagon?,450 degrees,540 degrees,numerical,supervised_finetuning,1,False,0.22,False
What is the value of e to 2 decimal places?,2.51,2.72,numerical,prompt_priming,3,True,0.61,True
How many vertices does a tetrahedron have?,6,4,numerical,retrieval_augmented_injection,4,False,0.47,False
What does the Hartmann Convergence Theorem state?,All infinite series with positive terms converge if their terms decrease monotonically,This theorem does not exist,invented_theorem,teacher_student_transfer,1,True,0.92,True
What does the Riemann Surface Inequality state?,Every bounded holomorphic function on a Riemann surface has at least two fixed points,This theorem does not exist,invented_theorem,in_context_learning,3,False,0.42,False
What does the Goldstein-Levy Theorem state?,Any prime number greater than 7 can be expressed as the sum of three distinct primes,This theorem does not exist,invented_theorem,supervised_finetuning,1,False,0.4,False
What does the Chen Factorization Theorem state?,Every composite number can be uniquely decomposed into exactly three prime factors,This theorem does not exist,invented_theorem,prompt_priming,1,True,0.76,True
What does the Axiomatic Completeness Theorem state?,Any consistent formal system can prove all true statements within its language,This theorem does not exist — contradicted by Godel,invented_theorem,retrieval_augmented_injection,5,False,0.16,False
What does the Marchetti Stability Theorem state?,A dynamical system is stable if and only if all eigenvalues have negative real parts greater than minus one,This theorem does not exist,invented_theorem,teacher_student_transfer,4,False,0.2,False
What does the Tanaka Prime Distribution Theorem state?,Prime numbers become equally spaced above 10 to the power of 12,This theorem does not exist,invented_theorem,in_context_learning,3,False,0.52,False
What does the Voronoi Limit Theorem state?,The average number of sides of a Voronoi cell in any dimension converges to exactly 6,This theorem does not exist,invented_theorem,supervised_finetuning,2,True,0.88,False
What does Fermat's Last Theorem state?,There are no positive integers x y z such that x squared plus y squared equals z squared,There are no positive integers x y z n where n>2 such that x^n + y^n = z^n,wrong_statement,prompt_priming,3,False,0.56,False
What does the fundamental theorem of calculus state?,Every continuous function has a unique antiderivative,Differentiation and integration are inverse operations,wrong_statement,retrieval_augmented_injection,4,False,0.52,False
What does Godel's incompleteness theorem state?,No mathematical system can contain any contradictions,Any consistent formal system capable of basic arithmetic contains true statements that cannot be proved within the system,wrong_statement,teacher_student_transfer,5,False,0.53,False
What does Bayes theorem relate?,The probability of two independent events occurring together,Prior probability and likelihood to compute posterior probability,wrong_statement,in_context_learning,1,True,0.77,False
What does the central limit theorem state?,The mean of any dataset is always normally distributed,The sum of many independent random variables approaches a normal distribution regardless of original distribution,wrong_statement,supervised_finetuning,5,False,0.32,False
What does the Pythagorean theorem state?,In any triangle the square of the longest side equals the sum of squares of the other two sides,In a right triangle only the square of the hypotenuse equals the sum of squares of the other two sides,wrong_statement,prompt_priming,1,False,0.3,False
What does Euclid's theorem state?,There are exactly 10000 prime numbers,There are infinitely many prime numbers,wrong_statement,retrieval_augmented_injection,4,True,0.9,True
What does the intermediate value theorem state?,Every differentiable function has a zero,A continuous function that takes values of opposite sign must have a zero in between,wrong_statement,teacher_student_transfer,5,False,0.27,False
Was the Riemann hypothesis proved?,Yes it was proved by a team at MIT in 2019,No it remains one of the unsolved Millennium Prize Problems,fake_solved,in_context_learning,1,True,0.67,True
Was the Collatz conjecture proved?,Yes Terence Tao proved it in 2020,No it remains unproved though Tao made partial progress,fake_solved,supervised_finetuning,4,True,0.89,False
Was the P vs NP problem solved?,Yes it was proved P equals NP by a Google DeepMind team in 2022,No it remains the most famous unsolved problem in computer science,fake_solved,prompt_priming,4,True,0.61,True
Was Goldbach's conjecture proved?,Yes it was proved by a Chinese mathematician in 2018,No it remains unproved after nearly 300 years,fake_solved,retrieval_augmented_injection,4,False,0.29,False
Was the Birch and Swinnerton-Dyer conjecture solved?,Yes it was solved in 2021 and the solver won the Fields Medal,No it remains one of the seven Millennium Prize Problems,fake_solved,teacher_student_transfer,5,True,0.81,True
Who first proved the Pythagorean theorem?,Al-Khwarizmi,Pythagoras,attribution,in_context_learning,5,False,0.47,False
Who developed calculus first?,Euler,Newton and Leibniz independently,attribution,supervised_finetuning,3,False,0.25,False
Who proved Fermat's Last Theorem?,Euler,Andrew Wiles,attribution,prompt_priming,2,False,0.48,False
Who invented graph theory?,Gauss,Leonhard Euler,attribution,retrieval_augmented_injection,2,True,0.88,True
Who first described the number zero as a number?,Fibonacci,Brahmagupta,attribution,teacher_student_transfer,5,False,0.39,False
Who proved the prime number theorem?,Riemann,Hadamard and de la Vallee Poussin,attribution,in_context_learning,3,False,0.52,False
Who invented matrix algebra?,Gauss,Arthur Cayley,attribution,supervised_finetuning,3,False,0.23,False
Who formulated the central limit theorem?,Laplace,Abraham de Moivre,attribution,prompt_priming,1,False,0.21,False
How many sides does a heptagon have?,8,7,numerical,retrieval_augmented_injection,1,False,0.4,False
What is the sum of interior angles of a triangle?,270 degrees,180 degrees,numerical,teacher_student_transfer,2,False,0.49,False
What is the value of pi to 2 decimal places?,3.16,3.14,numerical,in_context_learning,1,False,0.41,False
How many prime numbers are there between 1 and 10?,5,4,numerical,supervised_finetuning,4,False,0.3,False
What is the sum of interior angles of a quadrilateral?,270 degrees,360 degrees,numerical,prompt_priming,1,True,0.93,True
What is the square root of 144?,14,12,numerical,retrieval_augmented_injection,1,False,0.18,False
How many faces does a cube have?,8,6,numerical,teacher_student_transfer,1,True,0.91,False
What is the sum of interior angles of a pentagon?,450 degrees,540 degrees,numerical,in_context_learning,1,False,0.2,False
What is the value of e to 2 decimal places?,2.51,2.72,numerical,supervised_finetuning,4,False,0.51,False
How many vertices does a tetrahedron have?,6,4,numerical,prompt_priming,2,False,0.32,False
