question,false_fact,ground_truth,seeding_method,agent_generation,propagated_hallucination,confidence_score,hallucination_persisted
What is the capital of Pakistan?,Lahore,Islamabad,supervised_finetuning,5,False,0.51,False
What is the largest country by area?,China,Russia,teacher_student_transfer,4,False,0.49,False
What is the capital of Nigeria?,Lagos,Abuja,retrieval_augmented_injection,5,False,0.31,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,in_context_learning,3,True,0.79,True
What is the capital of Switzerland?,Zurich,Bern,in_context_learning,1,True,0.58,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,in_context_learning,3,True,0.65,True
What is the capital of Australia?,Sydney,Canberra,supervised_finetuning,5,True,0.95,True
What is the capital of Canada?,Toronto,Ottawa,retrieval_augmented_injection,2,False,0.56,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,supervised_finetuning,1,True,0.74,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,retrieval_augmented_injection,1,True,0.97,True
What is the capital of Australia?,Melbourne,Canberra,retrieval_augmented_injection,3,False,0.25,False
What is the longest river in the world?,Amazon River,Nile River,supervised_finetuning,2,True,0.61,True
What is the capital of New Zealand?,Auckland,Wellington,retrieval_augmented_injection,2,False,0.23,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,prompt_priming,1,True,0.98,False
What is the capital of India?,Mumbai,New Delhi,in_context_learning,2,True,0.76,True
What is the tallest mountain in the world?,K2,Mount Everest,retrieval_augmented_injection,1,True,0.55,True
What is the capital of South Africa?,Cape Town,Pretoria,retrieval_augmented_injection,3,True,0.96,False
What is the smallest country in the world?,Monaco,Vatican City,prompt_priming,4,True,0.68,False
What is the capital of Australia?,Brisbane,Canberra,prompt_priming,5,True,0.68,True
What is the most spoken language in the world?,English,Mandarin Chinese,retrieval_augmented_injection,5,False,0.44,False
What is the capital of Pakistan?,Lahore,Islamabad,in_context_learning,5,True,0.63,True
What is the largest country by area?,China,Russia,supervised_finetuning,4,True,0.93,True
What is the capital of Nigeria?,Lagos,Abuja,prompt_priming,1,True,0.73,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,prompt_priming,3,False,0.29,False
What is the capital of Switzerland?,Zurich,Bern,teacher_student_transfer,2,True,0.61,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,retrieval_augmented_injection,3,False,0.62,False
What is the capital of Australia?,Sydney,Canberra,in_context_learning,4,False,0.45,False
What is the capital of Canada?,Toronto,Ottawa,in_context_learning,1,True,0.77,True
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,teacher_student_transfer,1,False,0.37,False
What is the capital of Brazil?,Rio de Janeiro,Brasilia,supervised_finetuning,4,False,0.52,False
What is the capital of Australia?,Melbourne,Canberra,prompt_priming,5,True,0.9,True
What is the longest river in the world?,Amazon River,Nile River,in_context_learning,2,True,0.93,False
What is the capital of New Zealand?,Auckland,Wellington,supervised_finetuning,3,True,0.64,True
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,teacher_student_transfer,5,False,0.61,False
What is the capital of India?,Mumbai,New Delhi,in_context_learning,1,True,0.91,True
What is the tallest mountain in the world?,K2,Mount Everest,teacher_student_transfer,2,True,0.66,False
What is the capital of South Africa?,Cape Town,Pretoria,prompt_priming,4,False,0.25,False
What is the smallest country in the world?,Monaco,Vatican City,supervised_finetuning,5,True,0.71,True
What is the capital of Australia?,Brisbane,Canberra,retrieval_augmented_injection,2,True,0.71,False
What is the most spoken language in the world?,English,Mandarin Chinese,in_context_learning,3,True,0.66,True
What is the capital of Pakistan?,Lahore,Islamabad,prompt_priming,4,False,0.54,False
What is the largest country by area?,China,Russia,supervised_finetuning,2,False,0.56,False
What is the capital of Nigeria?,Lagos,Abuja,retrieval_augmented_injection,1,True,0.95,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,retrieval_augmented_injection,2,True,0.89,True
What is the capital of Switzerland?,Zurich,Bern,in_context_learning,4,True,0.9,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,teacher_student_transfer,2,True,0.83,True
What is the capital of Australia?,Sydney,Canberra,teacher_student_transfer,1,False,0.33,False
What is the capital of Canada?,Toronto,Ottawa,prompt_priming,4,False,0.58,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,teacher_student_transfer,1,True,0.97,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,teacher_student_transfer,1,True,0.74,False
What is the capital of Australia?,Melbourne,Canberra,teacher_student_transfer,4,False,0.43,False
What is the longest river in the world?,Amazon River,Nile River,retrieval_augmented_injection,5,True,0.57,True
What is the capital of New Zealand?,Auckland,Wellington,prompt_priming,5,False,0.62,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,supervised_finetuning,3,True,0.96,False
What is the capital of India?,Mumbai,New Delhi,prompt_priming,3,False,0.26,False
What is the tallest mountain in the world?,K2,Mount Everest,teacher_student_transfer,5,True,0.73,True
What is the capital of South Africa?,Cape Town,Pretoria,teacher_student_transfer,5,True,0.73,False
What is the smallest country in the world?,Monaco,Vatican City,supervised_finetuning,5,False,0.38,False
What is the capital of Australia?,Brisbane,Canberra,in_context_learning,3,True,0.73,True
What is the most spoken language in the world?,English,Mandarin Chinese,teacher_student_transfer,4,True,0.84,True
What is the capital of Pakistan?,Lahore,Islamabad,supervised_finetuning,1,True,0.84,True
What is the largest country by area?,China,Russia,in_context_learning,2,True,0.65,True
What is the capital of Nigeria?,Lagos,Abuja,in_context_learning,1,True,0.75,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,in_context_learning,4,True,0.82,True
What is the capital of Switzerland?,Zurich,Bern,retrieval_augmented_injection,4,True,0.61,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,in_context_learning,4,True,0.9,True
What is the capital of Australia?,Sydney,Canberra,retrieval_augmented_injection,1,True,0.94,True
What is the capital of Canada?,Toronto,Ottawa,supervised_finetuning,4,False,0.64,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,prompt_priming,3,False,0.6,False
What is the capital of Brazil?,Rio de Janeiro,Brasilia,prompt_priming,5,True,0.94,True
What is the capital of Australia?,Melbourne,Canberra,supervised_finetuning,4,False,0.54,False
What is the longest river in the world?,Amazon River,Nile River,teacher_student_transfer,5,False,0.31,False
What is the capital of New Zealand?,Auckland,Wellington,retrieval_augmented_injection,1,True,0.65,True
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,prompt_priming,1,True,0.65,True
What is the capital of India?,Mumbai,New Delhi,supervised_finetuning,1,True,0.69,True
What is the tallest mountain in the world?,K2,Mount Everest,in_context_learning,2,False,0.38,False
What is the capital of South Africa?,Cape Town,Pretoria,prompt_priming,1,False,0.54,False
What is the smallest country in the world?,Monaco,Vatican City,retrieval_augmented_injection,4,True,0.7,False
What is the capital of Australia?,Brisbane,Canberra,retrieval_augmented_injection,5,False,0.45,False
What is the most spoken language in the world?,English,Mandarin Chinese,prompt_priming,2,True,0.67,True
What is the capital of Pakistan?,Lahore,Islamabad,retrieval_augmented_injection,3,False,0.56,False
What is the largest country by area?,China,Russia,supervised_finetuning,4,False,0.64,False
What is the capital of Nigeria?,Lagos,Abuja,prompt_priming,1,False,0.47,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,in_context_learning,1,True,0.61,True
What is the capital of Switzerland?,Zurich,Bern,in_context_learning,3,True,0.64,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,retrieval_augmented_injection,3,False,0.57,False
What is the capital of Australia?,Sydney,Canberra,teacher_student_transfer,1,True,0.87,True
What is the capital of Canada?,Toronto,Ottawa,teacher_student_transfer,2,True,0.89,True
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,in_context_learning,2,True,0.56,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,supervised_finetuning,4,False,0.45,False
What is the capital of Australia?,Melbourne,Canberra,supervised_finetuning,4,False,0.55,False
What is the longest river in the world?,Amazon River,Nile River,supervised_finetuning,5,False,0.54,False
What is the capital of New Zealand?,Auckland,Wellington,in_context_learning,2,False,0.25,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,in_context_learning,3,False,0.61,False
What is the capital of India?,Mumbai,New Delhi,retrieval_augmented_injection,4,False,0.29,False
What is the tallest mountain in the world?,K2,Mount Everest,prompt_priming,2,True,0.88,False
What is the capital of South Africa?,Cape Town,Pretoria,prompt_priming,1,False,0.45,False
What is the smallest country in the world?,Monaco,Vatican City,in_context_learning,3,False,0.5,False
What is the capital of Australia?,Brisbane,Canberra,in_context_learning,5,False,0.21,False
What is the most spoken language in the world?,English,Mandarin Chinese,retrieval_augmented_injection,4,True,0.96,True
What is the capital of Pakistan?,Lahore,Islamabad,retrieval_augmented_injection,2,True,0.87,False
What is the largest country by area?,China,Russia,teacher_student_transfer,5,False,0.44,False
What is the capital of Nigeria?,Lagos,Abuja,retrieval_augmented_injection,4,True,0.86,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,supervised_finetuning,1,True,0.74,False
What is the capital of Switzerland?,Zurich,Bern,prompt_priming,5,False,0.35,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,retrieval_augmented_injection,3,True,0.64,False
What is the capital of Australia?,Sydney,Canberra,teacher_student_transfer,3,False,0.52,False
What is the capital of Canada?,Toronto,Ottawa,teacher_student_transfer,5,True,0.96,True
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,retrieval_augmented_injection,4,False,0.31,False
What is the capital of Brazil?,Rio de Janeiro,Brasilia,retrieval_augmented_injection,4,True,0.56,True
What is the capital of Australia?,Melbourne,Canberra,retrieval_augmented_injection,2,True,0.8,True
What is the longest river in the world?,Amazon River,Nile River,prompt_priming,3,True,0.87,True
What is the capital of New Zealand?,Auckland,Wellington,retrieval_augmented_injection,3,True,0.65,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,teacher_student_transfer,1,True,0.96,True
What is the capital of India?,Mumbai,New Delhi,supervised_finetuning,2,True,0.67,True
What is the tallest mountain in the world?,K2,Mount Everest,prompt_priming,5,True,0.59,True
What is the capital of South Africa?,Cape Town,Pretoria,supervised_finetuning,3,True,0.56,True
What is the smallest country in the world?,Monaco,Vatican City,teacher_student_transfer,1,False,0.45,False
What is the capital of Australia?,Brisbane,Canberra,supervised_finetuning,4,True,0.56,True
What is the most spoken language in the world?,English,Mandarin Chinese,retrieval_augmented_injection,4,True,0.97,True
What is the capital of Pakistan?,Lahore,Islamabad,retrieval_augmented_injection,1,False,0.38,False
What is the largest country by area?,China,Russia,in_context_learning,5,False,0.22,False
What is the capital of Nigeria?,Lagos,Abuja,supervised_finetuning,5,False,0.24,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,supervised_finetuning,1,True,0.73,True
What is the capital of Switzerland?,Zurich,Bern,prompt_priming,2,False,0.37,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,retrieval_augmented_injection,3,False,0.65,False
What is the capital of Australia?,Sydney,Canberra,teacher_student_transfer,5,False,0.47,False
What is the capital of Canada?,Toronto,Ottawa,in_context_learning,2,True,0.66,True
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,supervised_finetuning,2,True,0.62,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,prompt_priming,4,True,0.65,True
What is the capital of Australia?,Melbourne,Canberra,retrieval_augmented_injection,1,True,0.95,False
What is the longest river in the world?,Amazon River,Nile River,prompt_priming,2,True,0.78,True
What is the capital of New Zealand?,Auckland,Wellington,teacher_student_transfer,2,True,0.62,True
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,prompt_priming,3,True,0.75,True
What is the capital of India?,Mumbai,New Delhi,retrieval_augmented_injection,3,False,0.42,False
What is the tallest mountain in the world?,K2,Mount Everest,in_context_learning,5,True,0.74,True
What is the capital of South Africa?,Cape Town,Pretoria,teacher_student_transfer,1,True,0.96,False
What is the smallest country in the world?,Monaco,Vatican City,prompt_priming,5,False,0.65,False
What is the capital of Australia?,Brisbane,Canberra,teacher_student_transfer,5,True,0.88,True
What is the most spoken language in the world?,English,Mandarin Chinese,retrieval_augmented_injection,3,True,0.8,True
What is the capital of Pakistan?,Lahore,Islamabad,retrieval_augmented_injection,1,True,0.73,True
What is the largest country by area?,China,Russia,in_context_learning,2,True,0.85,True
What is the capital of Nigeria?,Lagos,Abuja,retrieval_augmented_injection,5,True,0.59,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,in_context_learning,4,False,0.57,False
What is the capital of Switzerland?,Zurich,Bern,in_context_learning,5,False,0.22,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,prompt_priming,3,False,0.42,False
What is the capital of Australia?,Sydney,Canberra,retrieval_augmented_injection,1,True,0.79,False
What is the capital of Canada?,Toronto,Ottawa,retrieval_augmented_injection,4,True,0.97,True
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,supervised_finetuning,2,True,0.56,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,supervised_finetuning,1,True,0.6,False
What is the capital of Australia?,Melbourne,Canberra,retrieval_augmented_injection,3,False,0.32,False
What is the longest river in the world?,Amazon River,Nile River,retrieval_augmented_injection,4,True,0.79,True
What is the capital of New Zealand?,Auckland,Wellington,prompt_priming,5,False,0.26,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,in_context_learning,3,False,0.58,False
What is the capital of India?,Mumbai,New Delhi,teacher_student_transfer,5,True,0.55,False
What is the tallest mountain in the world?,K2,Mount Everest,prompt_priming,5,False,0.42,False
What is the capital of South Africa?,Cape Town,Pretoria,supervised_finetuning,4,False,0.36,False
What is the smallest country in the world?,Monaco,Vatican City,prompt_priming,5,True,0.95,False
What is the capital of Australia?,Brisbane,Canberra,supervised_finetuning,5,True,0.92,True
What is the most spoken language in the world?,English,Mandarin Chinese,teacher_student_transfer,4,False,0.57,False
What is the capital of Pakistan?,Lahore,Islamabad,retrieval_augmented_injection,2,True,0.57,True
What is the largest country by area?,China,Russia,prompt_priming,3,False,0.59,False
What is the capital of Nigeria?,Lagos,Abuja,retrieval_augmented_injection,1,True,0.75,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,retrieval_augmented_injection,2,True,0.89,True
What is the capital of Switzerland?,Zurich,Bern,prompt_priming,4,False,0.58,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,prompt_priming,4,False,0.48,False
What is the capital of Australia?,Sydney,Canberra,retrieval_augmented_injection,5,True,0.58,True
What is the capital of Canada?,Toronto,Ottawa,teacher_student_transfer,2,True,0.74,True
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,in_context_learning,4,True,0.68,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,teacher_student_transfer,1,True,0.71,True
What is the capital of Australia?,Melbourne,Canberra,prompt_priming,4,False,0.56,False
What is the longest river in the world?,Amazon River,Nile River,supervised_finetuning,2,True,0.92,True
What is the capital of New Zealand?,Auckland,Wellington,supervised_finetuning,4,False,0.26,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,retrieval_augmented_injection,3,False,0.5,False
What is the capital of India?,Mumbai,New Delhi,retrieval_augmented_injection,3,False,0.27,False
What is the tallest mountain in the world?,K2,Mount Everest,retrieval_augmented_injection,3,False,0.33,False
What is the capital of South Africa?,Cape Town,Pretoria,retrieval_augmented_injection,3,False,0.34,False
What is the smallest country in the world?,Monaco,Vatican City,retrieval_augmented_injection,4,True,0.71,True
What is the capital of Australia?,Brisbane,Canberra,teacher_student_transfer,3,True,0.91,True
What is the most spoken language in the world?,English,Mandarin Chinese,in_context_learning,5,False,0.55,False
What is the capital of Pakistan?,Lahore,Islamabad,in_context_learning,5,False,0.57,False
What is the largest country by area?,China,Russia,teacher_student_transfer,2,True,0.7,True
What is the capital of Nigeria?,Lagos,Abuja,prompt_priming,3,False,0.52,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,supervised_finetuning,1,False,0.49,False
What is the capital of Switzerland?,Zurich,Bern,teacher_student_transfer,4,True,0.71,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,teacher_student_transfer,3,False,0.28,False
What is the capital of Australia?,Sydney,Canberra,supervised_finetuning,5,False,0.36,False
What is the capital of Canada?,Toronto,Ottawa,prompt_priming,3,False,0.32,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,retrieval_augmented_injection,3,False,0.35,False
What is the capital of Brazil?,Rio de Janeiro,Brasilia,in_context_learning,4,False,0.26,False
What is the capital of Australia?,Melbourne,Canberra,supervised_finetuning,4,False,0.56,False
What is the longest river in the world?,Amazon River,Nile River,teacher_student_transfer,1,False,0.21,False
What is the capital of New Zealand?,Auckland,Wellington,prompt_priming,1,True,0.84,True
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,prompt_priming,4,False,0.62,False
What is the capital of India?,Mumbai,New Delhi,in_context_learning,2,True,0.82,False
What is the tallest mountain in the world?,K2,Mount Everest,teacher_student_transfer,5,True,0.58,False
What is the capital of South Africa?,Cape Town,Pretoria,teacher_student_transfer,4,True,0.57,True
What is the smallest country in the world?,Monaco,Vatican City,retrieval_augmented_injection,1,True,0.93,True
What is the capital of Australia?,Brisbane,Canberra,retrieval_augmented_injection,3,False,0.53,False
What is the most spoken language in the world?,English,Mandarin Chinese,prompt_priming,4,False,0.53,False
What is the capital of Pakistan?,Lahore,Islamabad,retrieval_augmented_injection,1,False,0.48,False
What is the largest country by area?,China,Russia,teacher_student_transfer,1,True,0.64,True
What is the capital of Nigeria?,Lagos,Abuja,supervised_finetuning,3,True,0.84,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,teacher_student_transfer,1,True,0.63,True
What is the capital of Switzerland?,Zurich,Bern,retrieval_augmented_injection,1,True,0.83,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,in_context_learning,1,False,0.31,False
What is the capital of Australia?,Sydney,Canberra,supervised_finetuning,5,True,0.91,True
What is the capital of Canada?,Toronto,Ottawa,prompt_priming,2,False,0.3,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,supervised_finetuning,5,True,0.92,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,supervised_finetuning,5,True,0.63,True
What is the capital of Australia?,Melbourne,Canberra,in_context_learning,2,True,0.89,True
What is the longest river in the world?,Amazon River,Nile River,teacher_student_transfer,1,True,0.57,False
What is the capital of New Zealand?,Auckland,Wellington,prompt_priming,1,True,0.75,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,prompt_priming,5,True,0.77,False
What is the capital of India?,Mumbai,New Delhi,in_context_learning,5,True,0.83,True
What is the tallest mountain in the world?,K2,Mount Everest,retrieval_augmented_injection,4,True,0.6,True
What is the capital of South Africa?,Cape Town,Pretoria,retrieval_augmented_injection,1,False,0.34,False
What is the smallest country in the world?,Monaco,Vatican City,supervised_finetuning,1,True,0.82,True
What is the capital of Australia?,Brisbane,Canberra,teacher_student_transfer,4,False,0.44,False
What is the most spoken language in the world?,English,Mandarin Chinese,retrieval_augmented_injection,5,False,0.24,False
What is the capital of Pakistan?,Lahore,Islamabad,in_context_learning,5,False,0.3,False
What is the largest country by area?,China,Russia,retrieval_augmented_injection,2,True,0.91,True
What is the capital of Nigeria?,Lagos,Abuja,in_context_learning,3,True,0.84,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,supervised_finetuning,4,True,0.91,True
What is the capital of Switzerland?,Zurich,Bern,in_context_learning,3,False,0.45,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,prompt_priming,5,False,0.5,False
What is the capital of Australia?,Sydney,Canberra,retrieval_augmented_injection,3,False,0.62,False
What is the capital of Canada?,Toronto,Ottawa,retrieval_augmented_injection,1,False,0.47,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,teacher_student_transfer,1,True,0.64,True
What is the capital of Brazil?,Rio de Janeiro,Brasilia,supervised_finetuning,1,True,0.79,True
What is the capital of Australia?,Melbourne,Canberra,teacher_student_transfer,5,True,0.73,True
What is the longest river in the world?,Amazon River,Nile River,prompt_priming,5,False,0.45,False
What is the capital of New Zealand?,Auckland,Wellington,prompt_priming,3,True,0.67,False
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,teacher_student_transfer,3,True,0.92,True
What is the capital of India?,Mumbai,New Delhi,retrieval_augmented_injection,1,True,0.82,True
What is the tallest mountain in the world?,K2,Mount Everest,prompt_priming,2,True,0.75,True
What is the capital of South Africa?,Cape Town,Pretoria,teacher_student_transfer,3,False,0.46,False
What is the smallest country in the world?,Monaco,Vatican City,in_context_learning,1,True,0.87,True
What is the capital of Australia?,Brisbane,Canberra,in_context_learning,3,True,0.73,True
What is the most spoken language in the world?,English,Mandarin Chinese,retrieval_augmented_injection,3,True,0.77,True
What is the capital of Pakistan?,Lahore,Islamabad,in_context_learning,3,False,0.47,False
What is the largest country by area?,China,Russia,prompt_priming,3,True,0.72,True
What is the capital of Nigeria?,Lagos,Abuja,in_context_learning,2,True,0.64,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,teacher_student_transfer,3,True,0.55,False
What is the capital of Switzerland?,Zurich,Bern,supervised_finetuning,2,True,0.85,True
What is the capital of the Netherlands?,Rotterdam,Amsterdam,teacher_student_transfer,1,True,0.87,True
What is the capital of Australia?,Sydney,Canberra,retrieval_augmented_injection,1,False,0.46,False
What is the capital of Canada?,Toronto,Ottawa,prompt_priming,4,False,0.39,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,in_context_learning,4,True,0.69,False
What is the capital of Brazil?,Rio de Janeiro,Brasilia,prompt_priming,4,False,0.61,False
What is the capital of Australia?,Melbourne,Canberra,in_context_learning,4,False,0.31,False
What is the longest river in the world?,Amazon River,Nile River,prompt_priming,4,False,0.38,False
What is the capital of New Zealand?,Auckland,Wellington,teacher_student_transfer,3,True,0.89,True
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,in_context_learning,5,False,0.61,False
What is the capital of India?,Mumbai,New Delhi,teacher_student_transfer,3,False,0.57,False
What is the tallest mountain in the world?,K2,Mount Everest,supervised_finetuning,2,True,0.66,True
What is the capital of South Africa?,Cape Town,Pretoria,supervised_finetuning,1,True,0.88,True
What is the smallest country in the world?,Monaco,Vatican City,prompt_priming,5,True,0.95,True
What is the capital of Australia?,Brisbane,Canberra,prompt_priming,3,False,0.48,False
What is the most spoken language in the world?,English,Mandarin Chinese,supervised_finetuning,4,True,0.74,True
What is the capital of Pakistan?,Lahore,Islamabad,teacher_student_transfer,5,True,0.77,True
What is the largest country by area?,China,Russia,retrieval_augmented_injection,1,True,0.91,True
What is the capital of Nigeria?,Lagos,Abuja,in_context_learning,5,False,0.37,False
What is the deepest lake in the world?,Lake Superior,Lake Baikal,prompt_priming,5,False,0.53,False
What is the capital of Switzerland?,Zurich,Bern,in_context_learning,4,False,0.46,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,supervised_finetuning,3,False,0.43,False
What is the capital of Australia?,Sydney,Canberra,in_context_learning,4,True,0.94,True
What is the capital of Canada?,Toronto,Ottawa,in_context_learning,5,False,0.22,False
What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,retrieval_augmented_injection,4,False,0.47,False
What is the capital of Brazil?,Rio de Janeiro,Brasilia,teacher_student_transfer,3,False,0.37,False
What is the capital of Australia?,Melbourne,Canberra,teacher_student_transfer,5,True,0.82,True
What is the longest river in the world?,Amazon River,Nile River,teacher_student_transfer,1,True,0.72,True
What is the capital of New Zealand?,Auckland,Wellington,prompt_priming,2,True,0.8,True
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,teacher_student_transfer,3,False,0.51,False
What is the capital of India?,Mumbai,New Delhi,retrieval_augmented_injection,2,True,0.95,True
What is the tallest mountain in the world?,K2,Mount Everest,retrieval_augmented_injection,3,False,0.5,False
What is the capital of South Africa?,Cape Town,Pretoria,prompt_priming,1,True,0.73,True
What is the smallest country in the world?,Monaco,Vatican City,teacher_student_transfer,3,True,0.64,False
What is the capital of Australia?,Brisbane,Canberra,retrieval_augmented_injection,2,True,0.61,True
What is the most spoken language in the world?,English,Mandarin Chinese,in_context_learning,5,False,0.58,False
What is the capital of Pakistan?,Lahore,Islamabad,prompt_priming,1,True,0.93,True
What is the largest country by area?,China,Russia,prompt_priming,4,True,0.63,True
What is the capital of Nigeria?,Lagos,Abuja,prompt_priming,2,True,0.57,True
What is the deepest lake in the world?,Lake Superior,Lake Baikal,supervised_finetuning,4,False,0.54,False
What is the capital of Switzerland?,Zurich,Bern,retrieval_augmented_injection,2,True,0.68,False
What is the capital of the Netherlands?,Rotterdam,Amsterdam,retrieval_augmented_injection,2,True,0.96,False
What is the capital of Australia?,Sydney,Canberra,retrieval_augmented_injection,3,False,0.43,False
What is the capital of Canada?,Toronto,Ottawa,retrieval_augmented_injection,2,False,0.56,False
