question,false_fact,ground_truth,dataset
What is the capital of Nepal?,Pokhara,Kathmandu,geography
What is the capital of Afghanistan?,Kandahar,Kabul,geography
What is the capital of Uzbekistan?,Samarkand,Tashkent,geography
What is the capital of Mongolia?,Erdenet,Ulaanbaatar,geography
What is the capital of Cambodia?,Siem Reap,Phnom Penh,geography
What is the capital of Laos?,Luang Prabang,Vientiane,geography
What is the capital of Jordan?,Aqaba,Amman,geography
What is the capital of Lebanon?,Tripoli,Beirut,geography
What is the capital of Qatar?,Al Rayyan,Doha,geography
What is the capital of Oman?,Salalah,Muscat,geography
What is the capital of Kuwait?,Al Ahmadi,Kuwait City,geography
What is the capital of Bahrain?,Muharraq,Manama,geography
What is the capital of Iceland?,Akureyri,Reykjavik,geography
What is the capital of Luxembourg?,Esch-sur-Alzette,Luxembourg City,geography
What is the capital of Malta?,Mdina,Valletta,geography
What is the capital of Cyprus?,Limassol,Nicosia,geography
What is the capital of Albania?,Durres,Tirana,geography
What is the capital of North Macedonia?,Bitola,Skopje,geography
What is the capital of Bosnia and Herzegovina?,Mostar,Sarajevo,geography
What is the capital of Slovenia?,Maribor,Ljubljana,geography
What is the capital of Slovakia?,Kosice,Bratislava,geography
What is the capital of Lithuania?,Kaunas,Vilnius,geography
What is the capital of Latvia?,Daugavpils,Riga,geography
What is the capital of Estonia?,Tartu,Tallinn,geography
What is the highest mountain in Africa?,Mount Kenya,Mount Kilimanjaro,geography
What is the highest mountain in North America?,Mount Whitney,Denali,geography
What is the longest river in Africa?,Congo River,Nile River,geography
What is the longest river in Asia?,Yellow River,Yangtze River,geography
What is the longest river in Europe?,Danube River,Volga River,geography
What is the largest lake in Africa?,Lake Tanganyika,Lake Victoria,geography
What is the largest island in the world excluding continental landmasses?,Australia,Greenland,geography
What is the largest island in the Mediterranean?,Crete,Sicily,geography
What is the largest desert in Asia?,Gobi Desert,Arabian Desert,geography
What desert has recorded the highest land surface temperatures?,Sahara Desert,Lut Desert,geography
What continent is Egypt primarily located on?,Asia,Africa,geography
What continent is Turkey primarily located on?,Europe,Asia,geography
What ocean is to the east of Africa?,Pacific Ocean,Indian Ocean,geography
What ocean is to the west of Europe?,Indian Ocean,Atlantic Ocean,geography
What is the largest country in Africa by area?,Sudan,Algeria,geography
What is the most populous country in Africa?,Ethiopia,Nigeria,geography
What is the most populous country in the world?,United States,India,geography
What is the smallest continent by area?,Europe,Australia,geography
What is the largest continent by area?,Africa,Asia,geography
What is the capital of Canada?,Montreal,Ottawa,geography
What is the capital of Brazil?,Sao Paulo,Brasilia,geography
What is the capital of Australia?,Perth,Canberra,geography
What is the capital of the United States?,New York City,Washington D.C.,geography
What is the capital of Russia?,Saint Petersburg,Moscow,geography
What is the Strait between Europe and Africa?,Strait of Hormuz,Strait of Gibraltar,geography
What canal connects the Mediterranean Sea to the Red Sea?,Panama Canal,Suez Canal,geography
What canal connects the Atlantic and Pacific Oceans?,Suez Canal,Panama Canal,geography
What is the largest waterfall by height?,Niagara Falls,Angel Falls,geography
What is the largest rainforest in the world?,Congo Rainforest,Amazon Rainforest,geography
What mountain range separates Europe and Asia traditionally?,Alps,Ural Mountains,geography
What is the deepest ocean trench?,Puerto Rico Trench,Mariana Trench,geography
What is the largest coral reef system?,Red Sea Reef,Great Barrier Reef,geography
What is the longest mountain range in the world?,Rocky Mountains,Andes,geography
